RecordingTimestamp	FixationIndex	GazeEventDuration(mS)	GazePointIndex	GazePointX(px)	GazePointY(px)	Unnamed: 6	ClusterLabel
83074	212	243	24924	231	223		0
83317	213	223	24997	443	210		0
83541	214	337	25064	606	216		0
84794	215	427	25440	497	275		0
85221	216	530	25568	655	326		0
85750	217	340	25727	679	208		0
86090	218	417	25829	558	222		0
86507	219	123	25954	593	246		0
86630	220	687	25991	989	246		-1
87317	221	460	26197	824	240		1
87777	222	667	26335	975	261		-1
88443	223	390	26535	811	253		1
88833	224	483	26652	330	236		0
89317	225	443	26797	440	222		0
89760	226	727	26930	918	234		1
90487	227	380	27148	805	218		1
90867	228	513	27262	946	247		-1
91380	229	297	27416	802	241		1
91676	230	413	27505	314	241		0
92090	231	543	27629	417	223		0
92633	232	20	27792	274	245		0
92653	233	33	27798	278	223		0
92686	234	23	27808	219	214		0
92710	235	390	27815	264	212		0
93100	236	463	27932	537	222		0
93563	237	373	28071	320	216		0
93936	238	510	28183	430	234		0
94446	239	363	28336	263	226		0
94809	240	170	28445	386	243		0
94979	241	253	28496	577	241		0
95233	242	663	28572	933	243		1
95896	243	330	28771	832	253		1
96226	244	270	28870	968	260		-1
96496	245	293	28951	1233	241		-1
96789	246	40	29039	862	242		1
96829	247	230	29051	583	237		0
97059	248	347	29120	302	221		0
97406	249	137	29224	392	502		7
97542	250	693	29265	416	847		2
98236	251	403	29473	521	543		3
98639	252	23	29594	472	360		-1
98662	253	53	29601	414	568		-1
98716	254	397	29617	428	801		2
99112	255	293	29736	380	823		2
99406	256	473	29824	539	548		3
99879	257	120	29966	435	595		-1
99999	258	630	30002	419	763		2
100629	259	287	30191	584	510		3
100915	260	183	30277	494	228		0
101099	261	380	30332	438	459		7
101479	262	1890	30446	378	786		2
103368	263	187	31013	326	735		2
103555	264	413	31069	290	659		-1
103968	265	457	31193	503	646		-1
104425	266	463	31330	336	645		-1
104888	267	490	31469	337	740		2
105378	268	413	31616	280	792		-1
105792	269	253	31740	338	842		2
106045	270	367	31816	425	799		2
106411	271	440	31926	327	695		2
106851	272	170	32058	416	657		-1
107021	273	520	32109	487	632		-1
107541	274	397	32265	436	770		2
107938	275	363	32384	310	837		2
108301	276	453	32493	320	752		2
109398	277	100	32822	340	211		0
109498	278	373	32852	532	254		0
109871	279	310	32964	286	200		0
110181	280	23	33057	380	385		-1
110204	281	273	33064	376	637		-1
110478	282	317	33146	438	795		2
110794	283	313	33241	322	541		-1
111108	284	457	33335	494	219		0
111564	285	387	33472	333	239		0
111951	286	573	33588	444	242		0
112524	287	347	33760	285	205		0
112871	288	417	33864	439	219		0
113287	289	23	33989	568	491		3
113311	290	210	33996	425	726		2
113521	291	336	34059	428	834		2
113857	292	363	34160	510	801		-1
114220	293	367	34269	430	686		2
114587	294	303	34379	347	704		2
114890	295	503	34470	434	825		2
115393	296	210	34621	848	843		-1
115603	297	780	34684	1218	718		4
116383	298	243	34918	759	770		6
116627	299	167	34991	350	796		2
116793	300	387	35041	811	775		6
117180	301	287	35157	897	515		-1
117466	302	143	35243	569	227		0
117610	303	23	35286	877	419		-1
117633	304	763	35293	1129	632		-1
118396	305	220	35522	1260	763		4
118616	306	723	35588	1416	759		5
119340	307	533	35805	1287	778		4
119873	308	187	35965	1222	769		4
120060	309	720	36021	1431	796		5
120779	310	753	36237	1274	795		4
121533	311	450	36463	1434	784		5
121983	312	313	36598	1475	790		5
122296	313	683	36692	1257	790		4
122979	314	73	36897	806	771		6
123053	315	37	36919	621	718		-1
123089	316	203	36930	934	547		-1
123293	317	273	36991	1219	297		-1
123566	318	227	37073	1244	511		-1
123792	319	297	37141	1198	852		-1
124089	320	820	37230	1447	788		5
124909	321	580	37476	1288	794		4
125489	322	760	37650	1395	772		5
126249	323	480	37878	1289	774		4
126729	324	587	38022	773	756		6
127315	325	47	38198	807	781		6
127362	326	123	38212	1277	776		4
127485	327	173	38249	1177	760		4
127659	328	503	38301	1441	753		5
128162	329	33	38452	1280	756		4
128195	330	507	38462	1195	760		4
128702	331	473	38614	1445	772		5
129175	332	333	38756	1301	801		4
129508	333	260	38856	794	714		6
129768	334	330	38934	389	759		2
130098	335	340	39033	828	730		6
130438	336	30	39135	1416	778		5
130468	337	23	39144	1436	704		5
130638	338	33	39195	1443	800		5
130672	339	107	39205	1426	793		5
130778	340	300	39237	1489	820		5
131078	341	397	39327	1258	763		4
131475	342	303	39446	775	666		-1
131778	343	127	39537	366	751		2
131905	344	43	39575	845	740		6
131948	345	270	39588	1233	774		4
132218	346	447	39669	1380	783		5
132665	347	453	39803	1285	779		4
133118	348	297	39939	801	711		6
133415	349	847	40028	385	723		2
134261	350	300	40282	839	755		6
134561	351	757	40372	1449	775		5
135318	352	400	40599	1233	776		4
135718	353	433	40719	1410	789		5
136151	354	243	40849	1424	791		5
136394	355	270	40922	1183	788		4
136664	356	347	41003	869	566		-1
137011	357	137	41107	560	235		0
137148	358	170	41148	967	476		-1
137318	359	253	41199	1195	820		4
137571	360	367	41275	1441	790		5
137937	361	480	41385	1255	776		4
138417	362	227	41529	1422	776		5
138644	363	430	41597	1563	806		-1
139074	364	397	41726	1307	783		4
139471	365	337	41845	1442	792		5
139807	366	313	41946	1509	813		5
140120	367	370	42040	1254	787		4
140490	368	343	42151	1232	512		-1
140834	369	27	42254	1300	443		-1
140860	370	283	42262	1241	714		4
141144	371	127	42347	1248	793		4
141270	372	603	42385	1433	817		5
141874	373	517	42566	1249	786		4
142390	374	657	42721	1421	773		5
143047	375	420	42918	1339	754		4
143467	376	467	43044	828	692		-1
143933	377	557	43184	849	757		6
144490	378	760	43351	781	730		6
145250	379	217	43579	844	723		-1
145467	380	163	43644	1177	743		4
145630	381	577	43693	1437	756		5
146206	382	323	43866	1249	764		4
146530	383	557	43963	761	725		6
147086	384	303	44130	812	772		6
147390	385	163	44221	1210	780		4
147553	386	347	44270	1467	791		5
147900	387	207	44374	1428	785		5
148106	388	390	44436	1270	748		4
148496	389	443	44553	782	702		-1
148940	390	363	44686	483	490		-1
149386	391	227	44820	459	844		2
149613	392	143	44888	394	798		2
149756	393	443	44931	812	775		6
150199	394	470	45064	1391	784		5
150669	395	423	45205	1274	789		4
151093	396	233	45332	795	759		6
151326	397	513	45402	380	768		2
151839	398	263	45556	849	811		-1
152102	399	250	45635	1221	795		4
152352	400	790	45710	1404	782		5
153142	401	430	45947	1272	793		4
153572	402	647	46076	1374	750		5
154219	403	627	46270	1239	792		4
154845	404	480	46458	1391	794		5
155325	405	777	46602	1323	789		4
156102	406	687	46835	1394	771		5
156789	407	640	47041	1250	790		4
157428	408	757	47233	1406	787		5
158185	409	783	47460	1279	774		4
158968	410	407	47695	1423	788		5
159375	411	350	47817	1464	801		5
159725	412	910	47922	1263	783		4
160635	413	207	48195	1195	680		4
160841	414	347	48257	1300	675		-1
161188	415	110	48361	1385	721		5
161298	416	407	48394	1244	795		4
161705	417	370	48516	1178	849		-1
162075	418	203	48627	1223	802		4
162278	419	457	48688	1138	659		-1
162734	420	287	48825	1256	629		-1
163021	421	213	48911	1233	639		-1
163234	422	263	48975	1114	615		-1
163498	423	310	49054	1200	696		4
163808	424	547	49147	1227	719		4
164354	425	337	49311	1375	747		5
164691	426	263	49412	1528	768		5
164954	427	233	49491	1475	778		5
165188	428	223	49561	1264	745		4
165411	429	20	49628	1004	653		-1
165594	430	373	49683	1238	724		4
165967	431	267	49795	1450	776		5
166234	432	383	49875	1449	774		5
166617	433	230	49990	1487	777		5
166847	434	123	50059	1427	774		5
166971	435	327	50096	1264	773		4
167297	436	257	50194	1217	719		4
167554	437	397	50271	1428	764		5
167951	438	283	50390	1458	762		5
168234	439	733	50475	1243	759		4
168967	440	280	50695	1250	692		4
169247	441	167	50779	1250	658		-1
169414	442	397	50829	1152	647		-1
169810	443	387	50948	1126	804		-1
170197	444	397	51064	1255	816		4
170594	445	470	51183	1469	817		5
171064	446	440	51324	1511	710		-1
171887	447	310	51571	1473	933		-1
172197	448	283	51664	1386	791		5
172480	449	810	51749	1432	673		-1
173290	450	270	51992	1476	709		5
173560	451	333	52073	1400	730		5
173893	452	167	52173	1311	712		4
174060	453	480	52223	1404	727		5
174540	454	553	52367	1527	776		5
175093	455	257	52533	1344	813		4
175726	456	103	52723	1569	839		-1
175830	457	273	52754	1381	810		5
176103	458	153	52836	887	720		-1
176256	459	467	52882	365	802		2
176723	460	140	53022	495	774		-1
176863	461	40	53064	923	731		-1
176903	462	337	53076	1203	727		4
177239	463	670	53177	1473	751		5
177909	464	43	53378	1095	760		-1
177953	465	300	53391	700	727		-1
178253	466	470	53481	480	788		2
178723	467	340	53622	325	543		-1
179063	468	237	53724	479	235		0
179299	469	280	53795	395	559		-1
179579	470	120	53879	526	799		-1
179699	471	300	53915	948	782		-1
179999	472	137	54005	1244	772		4
180136	473	360	54046	1471	761		5
180496	474	177	54154	1328	810		4
180672	475	263	54207	1203	783		4
180936	476	40	54286	787	784		6
180976	477	133	54298	503	773		-1
181109	478	223	54338	409	773		2
181332	479	393	54405	507	552		3
181726	480	430	54523	293	218		0
182156	481	573	54652	440	216		0
182729	482	380	54824	302	215		0
183109	483	227	54938	456	218		0
183335	484	437	55006	558	240		0
183772	485	483	55137	301	208		0
184255	486	470	55282	467	232		0
184725	487	787	55423	452	506		7
185512	488	390	55659	524	552		3
185902	489	480	55776	293	232		0
186382	490	553	55920	469	232		0
186935	491	340	56086	321	249		0
187275	492	500	56188	247	217		0
187775	493	550	56338	494	217		0
188325	494	957	56503	410	477		7
189281	495	393	56790	510	545		3
189675	496	420	56908	304	221		0
190095	497	170	57034	384	206		0
190265	498	623	57085	539	229		0
191198	499	250	57365	245	244		0
191448	500	90	57440	425	251		0
191538	501	627	57467	604	245		0
192164	502	2153	57655	289	269		0
194317	503	183	58301	346	284		0
194501	504	2936	58356	465	272		0
197437	505	367	59237	312	248		0
197804	506	253	59347	433	415		-1
198057	507	153	59423	438	810		2
198210	508	253	59469	837	767		6
198464	509	163	59545	1217	739		4
198627	510	287	59594	1473	790		5
198914	511	160	59680	1481	800		5
199074	512	360	59728	1238	784		4
199434	513	483	59836	1389	770		5
199917	514	140	59981	1237	796		4
200057	515	247	60023	1263	783		4
200303	516	43	60097	787	799		6
200347	517	133	60110	403	834		2
200480	518	253	60150	419	547		-1
200733	519	407	60226	528	200		0
201140	520	480	60348	353	196		0
201620	521	237	60492	395	211		0
201857	522	627	60563	552	231		0
202483	523	650	60751	329	220		0
203133	524	100	60946	354	210		0
203233	525	687	60976	540	231		0
203920	526	680	61182	300	190		0
204600	527	130	61386	192	176		0
204730	528	573	61425	409	207		0
205303	529	97	61597	547	265		0
205399	530	27	61626	524	108		-1
205426	531	460	61634	534	275		0
206769	532	140	62037	450	243		0
206909	533	390	62079	561	280		0
207299	534	430	62196	644	303		0
207729	535	27	62325	715	311		-1
207756	536	317	62333	650	243		0
208466	537	203	62546	499	158		0
208669	538	273	62607	549	207		0
208942	539	110	62689	612	340		-1
209052	540	310	62722	561	375		-1
209362	541	20	62815	681	335		-1
209382	542	390	62821	668	331		0
209772	543	123	62938	592	352		-1
209896	544	200	62975	684	374		-1
210096	545	397	63035	666	226		0
211032	546	117	63316	587	199		0
211149	547	297	63351	690	219		0
211445	548	313	63440	535	211		0
211759	549	233	63534	579	260		0
211992	550	407	63604	682	257		0
212399	551	267	63726	568	258		0
212665	552	250	63806	566	270		0
212915	553	363	63881	641	260		0
213279	554	607	63990	564	252		0
213885	555	440	64172	515	305		0
214325	556	433	64304	657	345		-1
214758	557	230	64434	559	268		0
214988	558	1170	64503	324	221		0
216158	559	30	64854	502	249		0
216188	560	317	64863	591	266		0
216505	561	417	64958	288	245		0
217805	562	193	65348	188	153		0
218341	563	470	65509	251	339		0
218811	564	320	65650	358	329		0
219131	565	317	65746	278	253		0
221928	566	427	66585	318	244		0
222354	567	230	66713	201	305		-1
224031	568	367	67216	240	311		0
225211	569	173	67570	384	247		0
225384	570	270	67622	309	304		0
225654	571	257	67703	207	288		0
225910	572	43	67780	217	198		0
225954	573	23	67793	230	197		0
226850	574	20	68062	150	266		-1
227250	575	160	68182	266	266		0
227410	576	170	68230	368	187		0
227580	577	150	68281	480	189		0
228600	578	577	68587	672	190		-1
229177	579	290	68760	492	218		0
229467	580	30	68847	537	279		0
229600	581	377	68887	578	248		0
229977	582	563	69000	607	313		0
230540	583	560	69169	375	532		-1
231100	584	253	69337	438	746		2
231353	585	620	69413	399	754		2
231973	586	533	69599	570	570		3
232506	587	250	69759	413	397		-1
232756	588	563	69834	342	774		2
233320	589	397	70003	417	737		2
233716	590	550	70122	565	561		3
234266	591	280	70287	411	454		7
234546	592	830	70371	345	823		2
235376	593	310	70620	543	590		3
235686	594	447	70713	302	227		0
236133	595	103	70847	383	234		0
236236	596	310	70878	570	238		0
236546	597	23	70971	570	416		-1
236569	598	150	70978	483	653		-1
236719	599	493	71023	379	822		2
237212	600	20	71171	306	609		-1
237232	601	360	71177	269	400		-1
237592	602	170	71285	217	195		0
237762	603	520	71336	440	212		0
238282	604	520	71492	300	220		0
238802	605	393	71648	441	443		7
239196	606	517	71766	349	740		2
239712	607	623	71921	546	538		3
240335	608	523	72108	268	215		0
240859	609	393	72265	461	222		0
241252	610	33	72383	597	417		-1
241285	611	127	72393	436	719		2
241412	612	830	72431	398	785		2
242242	613	457	72680	272	582		-1
242699	614	440	72817	464	216		0
243139	615	520	72949	287	185		0
243659	616	1363	73105	404	440		7
245022	617	1010	73514	277	526		-1
246032	618	213	73817	387	356		-1
246245	619	970	73881	385	733		2
247215	620	20	74172	347	585		-1
247235	621	320	74178	312	414		-1
247555	622	840	74274	232	230		0
248395	623	20	74526	768	205		1
248415	624	83	74532	249	210		0
248498	625	647	74557	740	218		1
249145	626	607	74751	327	243		0
249751	627	137	74933	410	462		7
249888	628	837	74974	318	785		2
250725	629	217	75225	332	537		-1
250941	630	333	75290	222	232		0
251274	631	753	75390	463	214		0
252028	632	403	75616	342	234		0
252431	633	590	75737	478	243		0
253021	634	440	75914	314	227		0
253461	635	20	76046	375	453		7
253481	636	283	76052	367	670		-1
253764	637	997	76137	363	742		2
254761	638	387	76436	267	539		-1
255147	639	23	76552	746	291		1
255171	640	173	76559	492	224		0
255344	641	557	76611	581	225		0
255901	642	23	76778	411	387		-1
255924	643	590	76785	376	589		-1
256514	644	193	76962	321	829		2
256707	645	657	77020	318	555		-1
257364	646	27	77217	727	273		1
257390	647	180	77225	444	503		7
257570	648	437	77279	356	823		2
258007	649	530	77410	493	590		3
258537	650	423	77569	348	263		0
258960	651	580	77696	424	258		0
259540	652	40	77870	363	465		7
259600	653	490	77888	378	782		2
260090	654	63	78035	320	544		-1
260153	655	287	78054	283	287		0
260440	656	323	78140	438	264		0
260763	657	307	78237	565	256		0
261070	658	403	78329	410	437		7
261473	659	160	78450	400	750		2
261633	660	313	78498	510	456		-1
261947	661	307	78592	340	242		0
262253	662	437	78684	819	306		1
262690	663	343	78815	639	237		0
263033	664	43	78918	471	586		-1
263076	665	27	78931	413	773		2
263103	666	887	78939	413	783		2
263990	667	90	79205	452	697		2
264080	668	63	79232	641	479		-1
264143	669	440	79251	572	270		0
264583	670	73	79383	351	260		0
264656	671	20	79405	292	249		0
264676	672	50	79411	290	256		0
264726	673	533	79426	280	251		0
265259	674	50	79586	419	530		7
265310	675	80	79601	435	844		2
265389	676	87	79625	380	821		2
265496	677	420	79657	386	795		2
265936	678	267	79789	385	816		2
266203	679	67	79869	308	554		-1
266269	680	20	79889	286	233		0
266289	681	47	79895	270	237		0
266336	682	167	79909	263	228		0
266503	683	20	79959	779	250		1
266523	684	37	79965	294	288		0
266559	685	43	79976	271	235		0
266603	686	20	79989	744	275		1
266623	687	33	79995	269	234		0
266656	688	507	80005	500	232		0
267163	689	137	80157	758	244		1
267299	690	837	80198	1138	257		-1
268136	691	553	80449	793	244		1
268689	692	110	80615	699	250		0
268799	693	340	80648	1069	261		-1
269139	694	277	80750	1172	255		-1
269416	695	353	80833	786	254		1
269769	696	23	80939	330	244		0
269792	697	67	80946	301	254		0
269859	698	67	80966	270	249		0
269926	699	43	80986	267	250		0
269969	700	213	80999	277	247		0
270182	701	467	81063	501	250		0
270649	702	97	81203	603	247		0
270745	703	803	81232	993	243		-1
271549	704	337	81473	820	237		1
271885	705	420	81574	411	243		0
272305	706	350	81700	510	255		0
272655	707	187	81805	863	254		1
272842	708	510	81861	1215	256		-1
273352	709	400	82014	803	236		1
273752	710	323	82134	331	251		0
274075	711	443	82231	737	341		-1
274518	712	313	82364	896	223		1
274832	713	463	82458	1209	241		-1
275295	714	450	82597	830	255		1
275745	715	463	82732	929	271		1
276208	716	43	82871	794	248		1
276252	717	240	82884	533	245		0
276492	718	110	82956	349	259		0
276601	719	20	82989	770	305		1
276622	720	237	82995	277	248		0
276858	721	40	83066	474	248		0
276898	722	20	83078	525	244		0
276918	723	467	83084	512	244		0
277385	724	137	83224	344	265		0
277521	725	20	83265	239	211		0
277541	726	20	83271	279	303		0
277561	727	160	83277	265	257		0
277721	728	220	83325	453	527		-1
277941	729	250	83391	430	866		2
278191	730	383	83466	524	541		3
278575	731	310	83581	337	231		0
278885	732	20	83674	526	279		0
278905	733	153	83680	482	284		0
279058	734	260	83726	709	284		-1
279318	735	173	83804	562	248		0
279491	736	287	83856	275	242		0
279778	737	33	83942	399	476		7
279811	738	463	83952	415	785		2
280274	739	43	84091	524	580		3
280318	740	197	84104	508	260		0
280514	741	20	84163	1074	409		-1
280534	742	260	84169	506	258		0
280794	743	20	84247	1121	448		-1
280814	744	727	84253	523	249		0
